# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 17:42:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/RtmpyQxtE2/standata-5ae858891b43.json
# init = C:/Users/alrob/AppData/Local/Temp/RtmpyQxtE2/init-5ae8565166e3_1.json
# random
#   seed = 1790079858
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031242-1-527a60.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031242-1-079d2d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 6.37327e-05
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-69.1929,0.248412,6.37327e-05,10,1023,0,73.1046,11.5225,4.66964,0.901932,0.86337,5.40345,5.97285,1,0.306157,0,0.951981,-2.59209,0.842101
-66.8526,0.954223,6.37327e-05,10,1023,0,69.8924,11.5054,4.63613,0.865578,0.87243,5.62051,6.12514,1,0.241251,0,0.970463,-2.59407,0.831008
-66.9698,0.909558,6.37327e-05,10,1023,0,74.1681,11.4534,4.80735,0.908413,0.845873,5.60497,5.86276,1,0.278138,0,0.960541,-2.62593,0.827826
-66.3987,0.546438,6.37327e-05,10,1023,0,70.0102,11.4481,4.78016,0.917423,0.85202,5.60698,5.88752,1,0.271668,0,0.962391,-2.61854,0.829928
-67.2986,0.559655,6.37327e-05,10,1023,0,70.3598,11.4829,4.76544,0.911445,0.842518,5.68625,5.57673,1,0.233054,0,0.972464,-2.65613,0.83438
-67.2245,0.861557,6.37327e-05,10,1023,0,68.9986,11.4766,4.81404,0.91447,0.800146,5.7759,5.4754,1,0.239211,0,0.970968,-2.6717,0.829772
-67.8871,0.499459,6.37327e-05,10,1023,0,72.8941,11.4725,4.7988,0.894049,0.803778,5.79419,5.49643,1,0.222463,0,0.974941,-2.66611,0.826069
-67.9907,0.810628,6.37327e-05,10,1023,0,71.19,11.4374,4.79734,0.93657,0.804678,5.58305,5.55146,1,0.197385,0,0.980326,-2.64843,0.823711
-67.3884,0.994429,6.37327e-05,10,1023,0,70.4258,11.4231,4.78508,0.930374,0.785362,5.79468,5.6807,1,0.234766,0,0.972052,-2.64628,0.812669
-66.8376,0.354763,6.37327e-05,10,1023,0,71.5036,11.4167,4.78847,0.933807,0.77863,5.78673,5.5964,1,0.251151,0,0.967948,-2.64139,0.811587
-66.8779,0.62517,6.37327e-05,10,1023,0,77.5372,11.3522,4.80588,0.990281,0.759943,5.27947,5.64958,1,0.197263,0,0.980351,-2.68036,0.808278
-67.3105,0.640707,6.37327e-05,10,1023,0,68.4346,11.3574,4.8119,0.982272,0.759758,5.27465,5.65909,1,0.190699,0,0.981649,-2.67563,0.808753
-66.7094,0.653122,6.37327e-05,10,1023,0,73.7396,11.3573,4.84205,0.963832,0.778227,5.31774,5.51346,1,0.226459,0,0.974021,-2.6283,0.806536
-67.9099,0.632662,6.37327e-05,10,1023,0,74.5361,11.2495,4.80655,1.00046,0.852793,5.33143,5.67598,1,0.272989,0,0.962017,-2.6065,0.811131
-69.3384,0.155619,6.37327e-05,10,1023,0,71.8306,11.2379,4.79405,1.01894,0.847516,5.27033,5.64788,1,0.300458,0,0.953795,-2.62717,0.812199
# 
#  Elapsed Time: 117.706 seconds (Warm-up)
#                127.507 seconds (Sampling)
#                245.213 seconds (Total)
# 
