# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 18:05:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/standata-5a1868a04b5e.json
# init = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/init-5a1853e2378d_1.json
# random
#   seed = 1922468731
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031305-1-709b6c.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031305-1-198964.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 3.1373e-07
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-1036.99,0.999762,3.1373e-07,10,1023,0,1043.66,13.98,3.84721,0.355352,0.74199,2.60514,1.71842,1,0.584092,0,0.811687,-0.0282243,0.899146
-1036.9,0.999998,3.1373e-07,10,1023,0,1039.53,13.9798,3.84685,0.355309,0.742106,2.60512,1.7184,1,0.58421,0,0.811603,-0.0284411,0.899132
-1037.38,0.575713,3.1373e-07,10,1023,0,1040.03,13.9798,3.84684,0.35539,0.742057,2.60458,1.71789,1,0.584162,0,0.811637,-0.028585,0.899114
-1036.32,0.572616,3.1373e-07,10,1023,0,1040.53,13.9799,3.8469,0.355406,0.742074,2.60466,1.71803,1,0.584251,0,0.811573,-0.0285736,0.89912
-1037.94,0.322166,3.1373e-07,10,1023,0,1042.55,13.9797,3.84698,0.355458,0.742036,2.60517,1.71723,1,0.58409,0,0.811689,-0.0285283,0.899144
-1037.11,0.999993,3.1373e-07,10,1023,0,1040.67,13.9796,3.84684,0.355554,0.742101,2.60418,1.71708,1,0.58385,0,0.811861,-0.0287387,0.899141
-1038.23,0.999912,3.1373e-07,10,1023,0,1047.11,13.9795,3.84712,0.355515,0.741849,2.60446,1.71722,1,0.583774,0,0.811917,-0.0292937,0.899109
-1037.48,0.99998,3.1373e-07,10,1023,0,1041.51,13.9794,3.84708,0.355488,0.741888,2.60448,1.71728,1,0.583762,0,0.811925,-0.0293905,0.899107
-1036.25,0.999971,3.1373e-07,10,1023,0,1038.61,13.9795,3.84719,0.355461,0.741866,2.60454,1.71721,1,0.583843,0,0.811867,-0.0293795,0.899109
-1036.54,0.643444,3.1373e-07,10,1023,0,1039.43,13.9795,3.8471,0.355576,0.741887,2.60417,1.71687,1,0.583963,0,0.81178,-0.0291762,0.899097
-1036.52,0.958823,3.1373e-07,10,1023,0,1041.26,13.9795,3.84702,0.355564,0.741821,2.60456,1.7168,1,0.583947,0,0.811792,-0.0289574,0.899096
-1037.16,0.999995,3.1373e-07,10,1023,0,1045.04,13.9795,3.84719,0.355567,0.74198,2.60491,1.71673,1,0.583879,0,0.811841,-0.0285258,0.899096
-1038.16,0.710232,3.1373e-07,10,1023,0,1041.92,13.9795,3.84731,0.355688,0.741734,2.60593,1.71679,1,0.583887,0,0.811835,-0.0283177,0.899106
-1035.92,0.595028,3.1373e-07,10,1023,0,1038.41,13.9794,3.84728,0.355685,0.741737,2.606,1.71695,1,0.583754,0,0.81193,-0.0283091,0.899102
-1036.15,0.59378,3.1373e-07,10,1023,0,1041.47,13.9795,3.84724,0.355647,0.741723,2.60582,1.71712,1,0.583633,0,0.812017,-0.0283798,0.899105
-1035.91,0.585891,3.1373e-07,10,1023,0,1040.06,13.9794,3.84704,0.355627,0.741607,2.60586,1.71733,1,0.583342,0,0.812227,-0.028311,0.899132
-1035.56,0.999827,3.1373e-07,10,1023,0,1041.71,13.9796,3.84727,0.355599,0.741305,2.60534,1.71715,1,0.583276,0,0.812274,-0.0286011,0.899106
-1037.04,0.999853,3.1373e-07,10,1023,0,1045.36,13.9799,3.84739,0.355697,0.741004,2.6056,1.71727,1,0.583593,0,0.812046,-0.0284682,0.899125
-1037.07,0.999997,3.1373e-07,10,1023,0,1043.22,13.9803,3.84695,0.355685,0.74108,2.60541,1.71728,1,0.583601,0,0.812041,-0.0284161,0.899151
-1038.07,0.321755,3.1373e-07,10,1023,0,1041.97,13.9802,3.8471,0.355723,0.741351,2.60554,1.71737,1,0.583755,0,0.81193,-0.0285103,0.899124
-1036.89,1,3.1373e-07,10,1023,0,1039.16,13.9804,3.84715,0.355714,0.741576,2.60523,1.71724,1,0.583775,0,0.811916,-0.0288119,0.899154
-1036.42,0.999867,3.1373e-07,10,1023,0,1039.54,13.9805,3.84723,0.355763,0.7414,2.60448,1.71733,1,0.58382,0,0.811883,-0.0287352,0.89914
-1037.08,0.999995,3.1373e-07,10,1023,0,1040.03,13.9806,3.84729,0.355788,0.741462,2.60466,1.71724,1,0.58392,0,0.811811,-0.0285875,0.899128
-1038.24,0.999967,3.1373e-07,10,1023,0,1042.22,13.9806,3.84724,0.355814,0.74157,2.60459,1.71738,1,0.58385,0,0.811861,-0.0286167,0.899122
-1036.8,0.582757,3.1373e-07,10,1023,0,1038.72,13.9806,3.84711,0.355775,0.741578,2.60523,1.7174,1,0.583877,0,0.811842,-0.0285281,0.899108
-1037.15,0.325838,3.1373e-07,10,1023,0,1038.75,13.9806,3.84715,0.35572,0.741602,2.60457,1.71715,1,0.583825,0,0.811879,-0.0285708,0.899105
-1036.08,0.99999,3.1373e-07,10,1023,0,1041.17,13.9807,3.8472,0.355667,0.741606,2.60477,1.71725,1,0.583848,0,0.811863,-0.0287182,0.899107
